bundleImageId,bundleId,imageUrl
1,1,/bundles/go-big-go-home/black-apricot.png
2,1,/bundles/go-big-go-home/ebony-wood.png
3,1,/bundles/go-big-go-home/karbon.png
4,1,/bundles/go-big-go-home/rosewood.png
5,1,/bundles/go-big-go-home/sandstone.png
6,2,/bundles/essentials/black-apricot.png
7,2,/bundles/essentials/ebony-wood.png
8,2,/bundles/essentials/karbon.png
9,2,/bundles/essentials/rosewood.png
10,2,/bundles/essentials/sandstone.png
11,3,/bundles/dash-power/side-left.png
12,3,/bundles/dash-power/side.png
13,3,/bundles/dash-power/side-european.png
14,3,/bundles/dash-power/dash-cable.png
15,4,/bundles/style-swap/karbon.png
16,4,/bundles/style-swap/rosewood.png
17,4,/bundles/style-swap/bamboo.png
18,4,/bundles/style-swap/black-apricot.png
19,4,/bundles/style-swap/sandstone.png
20,5,/bundles/power-up/black-translucent.png
21,5,/bundles/power-up/black-green.png
22,5,/bundles/power-up/black-blue.png
23,5,/bundles/power-up/black-black.png
24,6,/bundles/2-go-big-go-home/bamboo.png
25,6,/bundles/2-go-big-go-home/black-apricot.png
26,6,/bundles/2-go-big-go-home/karbon.png
27,6,/bundles/2-go-big-go-home/rosewood.png
28,7,/bundles/2-essentials/bamboo.png
29,7,/bundles/2-essentials/black-apricot.png
30,7,/bundles/2-essentials/karbon.png
31,7,/bundles/2-essentials/rosewood.png
32,8,/bundles/x-essentials/bamboo.png
33,8,/bundles/x-essentials/black-apricot.png
34,8,/bundles/x-essentials/karbon.png
35,8,/bundles/x-essentials/rosewood.png
36,8,/bundles/x-essentials/sandstone.png
37,9,/bundles/gear/backpack-dash.png
38,9,/bundles/gear/travel-blue-dash.png
39,9,/bundles/gear/travel-black-dash.png
