productId,productName,categoryId,optionId1,optionId2,optionId3,optionId4,optionId5,optionId6,optionId7,optionId8
1,OnePlus3T,1,1,2,88,89,,,,
2,OnePlus 3/3T Protective Case,2,3,4,5,6,7,,,
3,OnePlus 3/3T Flip Cover,2,8,9,,,,,,
4,Otterbox Case for OnePlus 3/3T,2,10,11,12,,,,,
5,OnePlus 2 StyleSwap Cover,2,13,14,15,16,,,,
6,OnePlus 2 Flip Cover,2,17,18,19,20,21,,,
7,OnePlus 2 Silicone Case,2,22,23,24,,,,,
8,OnePlus X Protective Case,2,25,26,27,28,29,,,
9,OnePlus X Flip Cover,2,30,31,32,33,,,,
10,OnePlus X Silicone Case,2,34,35,36,37,,,,
11,OnePlus X Translucent Cover,2,38,39,,,,,,
12,OnePlus X Translucent Cover,2,40,41,,,,,,
13,OnePlus Powerbank Silicone Case,2,42,43,44,45,,,,
14,OnePlus iPhone 6/6S Case,2,46,,,,,,,
15,OnePlus 3/3T Curved Glass Protector,3,47,48,,,,,,
16,OnePlus 3/3T Tempered Glass Screen Protector,3,49,,,,,,,
17,OnePlus 2 Premium Screen Protector,3,50,,,,,,,
18,OnePlus X Tempered Glass Screen Protector,3,51,,,,,,,
19,OnePlus X Premium Screen Protector,3,52,,,,,,,
20,OnePlus Dash Power Adapter,4,53,54,,,,,,
21,OnePlus Dash Type-C Cable,5,55,56,,,,,,
22,OnePlus USB TypeC OTG Cable,5,57,,,,,,,
23,OnePlus Dash Car Charger,4,58,,,,,,,
24,OnePlus MicroUSB Cable,5,59,,,,,,,
25,OnePlus MicroUSB OTG Cable,5,60,,,,,,,
26,OnePlus MicroUSB Power Adapter,4,61,,,,,,,
27,OnePlus 10000 mAh Powerbank,6,62,63,,,,,,
28,OnePlus Bullets v2 Headphones,7,64,65,,,,,,
29,OnePlus Icons Headphones,7,66,67,,,,,,
30,OnePlus Travel Backpack,8,68,,,,,,,
31,OnePlus Travel Messenger Bag,8,69,70,,,,,,
32,OnePlus Leather Messenger Bag,8,71,,,,,,,
33,OnePlus Never Settle T-Shirt,8,72,73,74,75,76,77,78,79
34,OnePlus Dash T-Shirt,8,80,81,82,83,84,85,86,87
